User Input,Chatbot Response,Timestamp
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 19:26:59
do u like your name,My name is Erru,2024-12-07 19:27:49
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 19:28:05
never,from shreya-she loves you too,2024-12-07 19:28:14
 do u like your name,My name is Erru,2024-12-07 19:39:03
i love shreya,hmm try your best i m with you ,2024-12-07 19:39:26
she is so beautiful,hope she will understand your shreya astrid hinata everything,2024-12-07 19:39:43
never,hmm try your best i m with you ,2024-12-07 19:40:04
i love shreya,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:40:16
never,hope she will understand your shreya astrid hinata everything,2024-12-07 19:40:25
she is so beautiful,hope she will understand your shreya astrid hinata everything,2024-12-07 19:40:44
bye,Goodbye,2024-12-07 19:40:53
i love shreya,from shreya-she loves you too,2024-12-07 19:41:09
do u like your name,My name is Erru,2024-12-07 19:41:39
any motivation,just giveup and die,2024-12-07 19:42:00
shit,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 19:42:34
i love shreya,hmm try your best i m with you ,2024-12-07 19:42:56
i love shreya,from shreya-she loves you too,2024-12-07 19:43:10
any motivation,just giveup and die,2024-12-07 19:43:26
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 19:43:49
give me more motivation,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 19:46:16
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 19:46:48
give me motivation,just giveup and die,2024-12-07 19:47:04
give me motivation,if u are born in india just die take one two with you so there will be less population,2024-12-07 19:47:11
i love shreya,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:47:49
hi,Nothing much,2024-12-08 11:44:31
Hey,Nothing much,2024-12-08 11:44:41
Hello,Nothing much,2024-12-08 11:44:49
bye,Goodbye,2024-12-08 11:44:57
do u have any name,yaa i love my name as it reminds me of them ,2024-12-08 11:45:23
do u have any name,My name is Erru,2024-12-08 11:45:35
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2024-12-08 11:46:14
what's your favourite sport,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-08 11:46:56
Tell me a joke,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2024-12-08 11:47:25
Make me laugh,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2024-12-08 11:47:51
Make me laugh\,Why don't skeletons fight each other? They don't have the guts!,2024-12-08 11:47:54
Do you like any color,Nothing much,2024-12-08 11:48:34
Do you have any hobbies,"As an AI, I don't have pets, but I'm interested in animals and can answer your questions about them.",2024-12-08 11:49:04
who are you,I am a chatbot,2024-12-08 11:49:22
what can you do,I am a chatbot,2024-12-08 11:49:41
what can you do,My purpose is to assist you,2024-12-08 11:49:46
Best pet-friendly activities,"Pet care involves regular feeding, exercise, grooming, and regular vet check-ups to ensure your pet's well-being.",2024-12-08 11:50:51
Recommend me a movie,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-08 11:51:24
Book genres,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-08 11:51:51
Climate change facts,"Global warming refers to the long-term increase in Earth's average temperature due to human activities, primarily the burning of fossil fuels.",2024-12-08 11:52:17
Keys to a happy life,"Focusing on positive aspects, practicing mindfulness, and helping others contribute to a happier life.",2024-12-08 11:52:55
Popular coding languages,"Coding languages include Python, Java, JavaScript, C++, and more. The choice depends on your interests and the application you want to develop.",2024-12-08 11:53:30
Thank you,You're welcome,2024-12-08 11:53:44
Bye,Take care,2024-12-08 11:53:52
